24-05-28 19:37:17.789 - INFO: 
| objects    |   auroc_px |   f1_px |   ap_px |   aupro |   auroc_sp |   f1_sp |   ap_sp |
|:-----------|-----------:|--------:|--------:|--------:|-----------:|--------:|--------:|
| candle     |       97.4 |    22.4 |    12.8 |    93.5 |       93.6 |    87.4 |    94.5 |
| capsules   |       96.9 |    31.1 |    19.8 |    77.4 |       82.1 |    81.1 |    90.3 |
| cashew     |       98.9 |    58.1 |    48.3 |    87.4 |       92.5 |    91.3 |    96.3 |
| chewinggum |       99.1 |    59.2 |    58.7 |    85   |       95.7 |    94.9 |    98.4 |
| fryum      |       97.2 |    48.7 |    40.4 |    87.7 |       92.8 |    90.7 |    96.8 |
| macaroni1  |       98.3 |    14.4 |     6.4 |    91.8 |       84.6 |    78.1 |    86.4 |
| macaroni2  |       96   |     9   |     2.4 |    86.5 |       72.4 |    71.1 |    76.7 |
| pcb1       |       99.5 |    66.2 |    68.5 |    89.8 |       84   |    78.7 |    82   |
| pcb2       |       96.7 |    19.7 |     9.3 |    79   |       74.2 |    72   |    74.3 |
| pcb3       |       97   |    38.3 |    27.6 |    88   |       79.3 |    76.3 |    78.4 |
| pcb4       |       97.2 |    32.2 |    23.9 |    87.3 |       91.6 |    86.9 |    87.8 |
| pipe_fryum |       98.9 |    53.9 |    46.8 |    95.1 |       99.3 |    99   |    99.7 |
| mean       |       97.8 |    37.8 |    30.4 |    87.4 |       86.8 |    84   |    88.5 |
